"","interact_id","treksoft_pid","treksoft_uid","ethica_id","sd_id_1","sd_firmware_1","sd_start_1","sd_end_1","sd_id_2","sd_firmware_2","sd_start_2","sd_end_2","dropout","data_disposition","test","plg_id","wave"
"134",201912164,"66","68",5122,457,2106,2018-05-16,2018-05-25,NA,NA,NA,NA,NA,NA,0,NA,1
"135",201577173,"251","253",NA,449,2106,2018-10-16,2018-10-25,NA,NA,NA,NA,NA,NA,0,NA,1
"136",201035705,"148","150",NA,454,2106,2018-05-31,2018-06-09,NA,NA,NA,NA,NA,NA,0,NA,1
"137",201070246,"330","332",NA,454,2106,2018-08-18,2018-08-27,NA,NA,NA,NA,NA,NA,0,NA,1
"138",201185322,"544","546",5797,454,2106,2018-07-26,2018-08-04,NA,NA,NA,NA,NA,NA,0,NA,1
"139",201221004,"667","669",6211,454,2106,2018-09-14,2018-09-24,NA,NA,NA,NA,NA,NA,0,NA,1
"140",201789403,"210","212",5239,454,2106,2018-06-22,2018-07-08,NA,NA,NA,NA,NA,NA,0,NA,1
"141",201911845,"63","65",NA,454,2106,2018-05-18,2018-05-27,NA,NA,NA,NA,NA,NA,0,NA,1
"142",201069240,"109","111",5219,455,2106,2018-05-11,2018-05-20,NA,NA,NA,NA,NA,NA,0,NA,1
"143",201398316,"385","387",NA,455,2106,2018-07-10,2018-07-19,NA,NA,NA,NA,NA,NA,0,NA,1
"144",201439230,"222","224",NA,455,2106,2018-06-06,2018-06-15,NA,NA,NA,NA,NA,NA,0,NA,1
"145",201000648,"192","194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"146",201009324,"720","722",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"147",201013074,"675","677",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"148",201016785,"493","495",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"149",201028091,"363","365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"150",201040454,"114","116",5332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"151",201041511,"197","199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"152",201043589,"769","771",6043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"153",201048715,"129","131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"154",201049835,"733","735",6392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"155",201055501,"718","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"156",201056320,"173","175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"157",201061123,"102","104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"158",201062265,"613","615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"159",201062762,"705","707",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"160",201064068,"334","336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"161",201066939,"583","585",7677,423,2106,2018-08-19,2018-08-20,NA,NA,NA,NA,NA,NA,0,NA,1
"162",201067057,"74","76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"163",201068760,"343","345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"164",201071254,"166","168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"165",201073322,"602","604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"166",201079926,"921","923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"167",201082524,"531","533",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"168",201083538,"100","102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"169",201090351,"186","188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"170",201092385,"415","417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"171",201093564,"900","902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"172",201094078,"127","129",5180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"173",201100944,"38","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"174",201101939,"455","457",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"175",201104747,"104","106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"176",201112980,"919","921",7201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"177",201117458,"506","508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"178",201133547,"736","738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"179",201133626,"9","11",5060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"180",201141554,"345","347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"181",201152998,"617","619",7086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"182",201153192,"83","85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"183",201157535,"392","394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"184",201162283,"471","473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"185",201166787,"85","87",5123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"186",201168344,"696","698",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"187",201170613,"875","877",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"188",201170658,"869","871",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"189",201185154,"106","108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"190",201190010,"475","477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"191",201198491,"683","685",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"192",201201438,"80","82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"193",201203422,"499","501",6201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"194",201206704,"107","109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"195",201207634,"585","587",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"196",201211993,"642","644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"197",201216937,"283","285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"198",201225837,"505","507",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"199",201228266,"247","249",5881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"200",201233084,"838","840",6215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"201",201234172,"478","480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"202",201242648,"666","668",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"203",201243072,"533","535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"204",201246049,"897","899",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"205",201247049,"719","721",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"206",201250455,"217","219",5226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"207",201252921,"814","816",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"208",201254249,"793","795",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"209",201258878,"355","357",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"210",201258973,"81","83",5596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"211",201262457,"627","629",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"212",201265301,"443","445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"213",201266599,"439","441",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"214",201267590,"181","183",6361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"215",201268516,"281","283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"216",201269750,"165","167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"217",201271362,"380","382",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"218",201272427,"68","70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"219",201272740,"483","485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"220",201275577,"540","542",7423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"221",201279185,"67","69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"222",201284018,"569","571",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"223",201289762,"97","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"224",201289915,"361","363",5576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"225",201292887,"154","156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"226",201296951,"200","202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"227",201301772,"124","126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"228",201302676,"892","894",6358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"229",201304492,"448","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"230",201306073,"193","195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"231",201315391,"395","397",5879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"232",201316072,"108","110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"233",201316489,"517","519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
"234",201323910,"822","824",NA,476,2106,2018-11-03,2018-11-04,NA,NA,NA,NA,NA,NA,0,NA,1
